Source File Name:	Scan
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
5.712e-5	-2.701907e-6
5.728e-5	-2.968877e-6
5.744e-5	-2.895941e-6
5.76e-5	-7.884757e-6
5.776e-5	-7.895233e-6
5.792e-5	-7.988123e-6
5.808e-5	-5.690289e-6
5.824e-5	-5.461367e-6
5.84e-5	-8.5459e-6
5.856e-5	-8.35722e-6
5.872e-5	-9.387326e-6
5.888e-5	-7.739409e-6
5.904e-5	-9.10562e-6
5.92e-5	-1.239852e-5
5.936e-5	-1.483712e-5
5.952e-5	-1.905798e-5
5.968e-5	-1.843482e-5
5.984e-5	-1.808663e-5
6e-5	-1.87868e-5
6.016e-5	-2.080033e-5
6.032e-5	-2.137257e-5
6.048e-5	-2.126689e-5
6.064e-5	-1.964271e-5
6.08e-5	-1.761611e-5
6.096e-5	-1.720637e-5
6.112e-5	-1.498824e-5
6.128e-5	-1.580252e-5
6.144e-5	-1.671691e-5
6.16e-5	-1.462022e-5
6.176e-5	-1.571827e-5
6.192e-5	-1.867612e-5
6.208e-5	-2.100799e-5
6.224e-5	-2.108152e-5
6.24e-5	-1.795384e-5
6.256e-5	-1.598596e-5
6.272e-5	-1.582564e-5
6.288e-5	-1.361345e-5
6.304e-5	-1.084065e-5
6.32e-5	-8.092735e-6
6.336e-5	-7.65677e-6
6.352e-5	-2.911267e-6
6.368e-5	-1.972867e-7
6.384e-5	5.904571e-7
6.4e-5	1.693965e-6
6.416e-5	3.696684e-6
6.432e-5	5.463552e-6
6.448e-5	7.498905e-6
6.464e-5	1.015192e-5
6.48e-5	1.18323e-5
6.496e-5	1.287056e-5
6.512e-5	1.375744e-5
6.528e-5	1.292805e-5
6.544e-5	1.246991e-5
6.56e-5	9.189976e-6
6.576e-5	6.44799e-6
6.592e-5	3.923516e-6
6.608e-5	5.523497e-6
6.624e-5	8.992505e-6
6.64e-5	1.136658e-5
6.656e-5	1.218143e-5
6.672e-5	1.530791e-5
6.688e-5	1.593707e-5
6.704e-5	1.771956e-5
6.72e-5	1.786231e-5
6.736e-5	2.082867e-5
6.752e-5	2.056711e-5
6.768e-5	2.031255e-5
6.784e-5	1.9206e-5
6.8e-5	1.997269e-5
6.816e-5	2.323287e-5
6.832e-5	2.678567e-5
6.848e-5	2.531572e-5
6.864e-5	2.767282e-5
6.88e-5	2.32875e-5
6.896e-5	2.43916e-5
6.912e-5	2.42776e-5
6.928e-5	1.975443e-5
6.944e-5	1.303982e-5
6.96e-5	8.352592e-6
6.976e-5	5.851362e-6
6.992e-5	3.956042e-6
7.008e-5	7.893815e-7
7.024e-5	-1.270939e-6
7.04e-5	-2.168485e-6
7.056e-5	-2.146426e-6
7.072e-5	-1.281515e-6
7.088e-5	-3.82251e-6
7.104e-5	-2.868947e-6
7.12e-5	-5.231649e-6
7.136e-5	-7.22069e-6
7.152e-5	-8.798354e-6
7.168e-5	-1.034023e-5
7.184e-5	-7.651622e-6
7.2e-5	-7.794843e-6
7.216e-5	-9.157167e-6
7.232e-5	-1.166783e-5
7.248e-5	-1.043912e-5
7.264e-5	-9.809372e-6
7.28e-5	-1.060317e-5
7.296e-5	-1.261377e-5
7.312e-5	-1.350538e-5
7.328e-5	-1.049286e-5
7.344e-5	-8.732279e-6
7.36e-5	-7.206972e-6
7.376e-5	-6.18969e-6
7.392e-5	-4.685779e-6
7.408e-5	-5.564092e-6
7.424e-5	-6.350716e-6
7.44e-5	-7.520224e-6
7.456e-5	-7.235211e-6
7.472e-5	-8.679843e-6
7.488e-5	-8.919756e-6
7.504e-5	-8.79125e-6
7.52e-5	-6.902411e-6
7.536e-5	-7.470744e-6
7.552e-5	-8.533927e-6
7.568e-5	-7.17267e-6
7.584e-5	-7.906014e-6
7.6e-5	-7.437634e-6
7.616e-5	-6.494531e-6
7.632e-5	-4.270105e-6
7.648e-5	-4.030059e-7
7.664e-5	1.27683e-6
7.68e-5	8.508232e-7
7.696e-5	1.606966e-6
7.712e-5	-1.920727e-7
7.728e-5	3.546705e-7
7.744e-5	3.839564e-6
7.76e-5	5.742054e-6
7.776e-5	4.748374e-6
7.792e-5	4.923361e-6
7.808e-5	6.547934e-6
7.824e-5	1.979894e-6
7.84e-5	-1.707192e-6
7.856e-5	1.534745e-6
7.872e-5	1.071019e-6
7.888e-5	-1.607981e-6
7.904e-5	1.401753e-8
7.92e-5	-5.582827e-7
7.936e-5	-4.007308e-7
7.952e-5	-1.008646e-6
7.968e-5	2.391436e-7
7.984e-5	-1.947005e-6
8e-5	-2.502073e-6
8.016e-5	-1.439729e-6
8.032e-5	4.19723e-7
